Example,Seasonality,Reproductive Strategy ,Form,stem,Leaf position,Leaf shape,petiole,heads,Flower position,Phyllary/bracts,Receptacle/pedicel,Flowers types,Anther base,Anther tip,Corolla color,style tip,style branching,Fruit shape,Pappus/calyx/sepal,rhizome,Class
Marrubium,perennial,monoecious,shrub,"erect,branched",opposite,"ovate,round,toothed,crenate",yes,none,axillary,0,,bisexual,,,,,"equal,lobed","nutlet,truncated",lobed,,Lamiaceae
Melissa,perennial,monoecious,shrub,"erect,simple,branched",opposite,"oblong,ovate,crenate,serrate",yes,none,axillary,short,present,bisexual,,,yellow,,"lobed,unequal","ovoid,smooth",lipped,,Lamiaceae
Mentha,perennial,monoecious,shrub,"ascending,erect,branched",opposite,"elliptic,lanceolate,ovate,toothed,lobed","yes,no",none,"axillary,panicle,spike",present,,bisexual,,,wppu,,"lobed,unequal",,"equal,lobed,unequal",yes,Lamiaceae
Molucella,annual,monoecious,shrub,"erect,simple",opposite,"crenate,lobed",yes,none,axillary,spine forked,,bisexual,,,wp,,"lobed,unequal","nutlets,truncate",toothed,,Lamiaceae
Monarda,annual,monoecious,subshrub,"erect,branched",opposite,,"yes,no",none,axillary,present,,bisexual,,,wp,,"lobed,unequal",,"lobed,subequal",,Lamiaceae
Monardella,both,monoecious,shrub,,opposite,"entire,serrate",,none,"spike,panicles","series,leaf like",,bisexual,,,wpu,,"lobed,unequal",,lobed,,Lamiaceae
Nepeta,both,monoecious,shrub,"erect,branched",opposite,"lanceolate,ovate",yes,none,axillary,present,,bisexual,,,white,,,"nutlets,smooth,rough","lobed,subequal",,Lamiaceae
Origanum,both,monoecious,subshrub,"decumbent,erect,branched",opposite,"ovate,entire,toothed","yes,no",none,"axillary,spike,panicle",overlapping,present,bisexual,,,wrpu,,"lobed,unequal",,"equal,lobed",,Lamiaceae
Pogogyne,annual,monoecious,shrub,"decumbent,erect,branched",opposite,"linear,round,entire,toothed",yes,none,"terminal,axillary,solitary",many,,bisexual,,,wpu,hairy,lobed,hairy,"lipped,loned",,Lamiaceae
Poliomintha,,monoecious,shrub,"spreading,erect,branched",opposite,"narrow,entire",yes,none,axillary,,,bisexual,,,blpu,,"lobed,unequal",,"lobed,unequal",,Lamiaceae
Prunella,perennial,,shrub,"prostrate,erect",opposite,entire,yes,none,"spike,terminal",present,,"bisexual,pistillate",toothed,,wbpp,,,"nutlets,obovoid",lipped,,Lamiaceae
Pycnanthemum,perennial,monoecious,shrub,"erect,simple,branched",opposite,"lanceolate,ovate",yes,none,axillary,present,,bisexual,,,wpu,,,smooth,"equal,lobed",,Lamiaceae
Salazaria,,monoecious,shrub,spreading,opposite,"ovate,elliptic",yes,none,axillary,0,,bisexual,,hairy,wpu,,,"nutlets,ovoid","equal,lobed",,Lamiaceae
Salvia,both,monoecious,shrub,,opposite,"entire,toothed,lobed","yes,no",none,cluster,present,,bisexual,,,wyrblppu,forked,,nutlets,lipped,,Lamiaceae
Satureja,perennial,monoecious,shrub,"decumbent,erect",opposite,"ovate,deltate,crenate,dentate",yes,none,axillary,,present,bisexual,,,wppu,exserted,lobed,smooth,"lipped,lobed",,Lamiaceae
Scutellaria,perennial,monoecious,shrub,"erect,branched",opposite,,"yes,no",none,"axillary,raceme",present,present,bisexual,,hairy,wblpu,,,ovoid,"lipped,equal,ridged",yes,Lamiaceae
Stachys,both,monoecious,shrub,decumbent erect,opposite,"oblong,ovate,crenate,serrate","yes,no",none,"spike,cluster,terminal",present,,bisexual,,,wrppu,,,"oblog,ovoid","lipped,lobed","yes,no",Lamiaceae
Teucrium,both,monoecious,shrub,"ascending,erect,branched",opposite,"crenate,lobed",yes,none,axillary,present,present,bisexual,,,wblpu,,"equal,lobed",nutlets,"lobed,subequal",,Lamiaceae
Trichostema,annual,monoecious,shrub,,opposite,"simple,linear,ovate,entire",yes,none,"cyme,racemes,axillary",,present,bisexual,,,blpu,,,"nutlets,hairy,ridged","equal,lobed",,Lamiaceae
Anelsonia,perennial ,monoecious,,,alternate,"entire,tapered",,none,,,"erect,ascending",bisexual,,,white,,,"lanceolate,elliptic,flat,obtuse",,,Brassicaeae
Arabidopsis,both,monoecious,,"branched,slender",alternate,rosette,yes,none,terminal,,ascending,bisexual,,,wyp,"short,0",,linear,,,Brassicaeae
