Example,Shoot growth form,Leaf distribution along the axis (arrangement),Apomixis,Plant growth form,Plant growth form standardized,Flower sexual system,Species reproduction types,Flower color,Fruit type,Leaf shape: 2. outline,Leaf shape: 3. pointed/round,Leaf shape: 4. length versus breadth,Leaf shape: 5. leaf base,Leaf shape: 6. leaf petiole type,Leaf type,"Dicliny (monoeceous, dioecious, hermaphrodite)",Fertilization,Seed morphology,Plant functional type PFT (Sheffield DGVM 1),Plant functional type PFT (Sheffield DGVM 2),Plant functional type PFT (Sheffield DGVM 3),Plant functional type PFT (LPJ DGVM 1),Plant functional type PFT (LPJ DGVM 2),"Plant functional type PFT (Poulter, B)",Leaf shape,Dichogamy,Growth Form,Low Growing Grass,Shape and Orientation,Plant functional type PFT (Biome-BGC 1),Plant functional type PFT (Biome-BGC 2),Flower - Inflorescence,Flower - Corolla,Leaf shape: driptip,Class
Salix herbacea,Stem prostrate,alternate,"amphimicitc, sexual",shrub,Shrub,dioecious,vegetative & generative,purple,capsule,toothed,emarginate,length = width,rounded,petiolate,broadleaved,dioecious,obligatory cross,Two or more long elongated appendages,na,TDB,TDB,na,BorDcBl,Boreal,always full,,,,,,DcBl,,,,Salix
Salix lanata,Stem erect,alternate,,Shrub,Shrub,,,,,entire,pointed,length = width,truncate,petiolate,broad-leaved,dioecious,obligatory cross,Two or more long elongated appendages,,,,,,,,,,,,,,,,acuminate (strongly acute),Salix
Salix lapponum,Stem erect,alternate,,shrub,,,,,,entire,pointed,1-3 times as long as wide,cuneate,petiolate,broadleaved,dioecious,obligatory cross,Two or more long elongated appendages,na,TDB,TDB,na,TmpDcBl,Boreal,,,,,,,DcBl,,,,Salix
Salix myrsinifolia,Stem erect,alternate,"amphimicitc, sexual",Shrub,Shrub,dioecious,by seed/by spore,yellow,capsule,toothed,pointed,1-3 times as long as wide,cuneate,petiolate,B,dioecious,obligatory cross,Two or more long elongated appendages,na,TDB,TDB,na,TmpDcBl,,always simple,,,,,,DcBl,,,acuminate (strongly acute),Salix
Salix myrsinites,Stem ascending to prostrate,alternate,,Shrub,,,,,,toothed,pointed,1-3 times as long as wide,truncate,petiolate,B,dioecious,obligatory cross,Two or more long elongated appendages,na,TDB,TDB,na,BorDcBl,,,,,,,,DcBl,,,acute,Salix
Salix myrtilloides,Stem erect,alternate,"amphimicitc, sexual",Shrub,Shrub,dioecious,by seed and vegetatively,red,capsule,,,,,,B,,,Two or more long elongated appendages,na,TDB,TDB,na,TmpDcBl,,always simple,,,,,,DcBl,,,obtuse,Salix
Salix pentandra,Stem erect,alternate,"amphimicitc, sexual",Tree,Tree,dioecious,by seed/by spore,Yellow,capsule,toothed,pointed,1-3 times as long as wide,truncate,petiolate,B,dioecious,obligatory cross,Two or more long elongated appendages,TDB,TDB,TDB,TmpDcBl,TmpDcBl,,always simple,,Single Stem,No,Erect,DcBl,DcBl,,,acute,Salix
Salix phylicifolia,Stem erect,alternate,,Shrub,,,,,,toothed,pointed,1-3 times as long as wide,truncate,petiolate,B,dioecious,obligatory cross,Two or more long elongated appendages,na,TDB,TDB,na,TmpDcBl,,,,,,,,DcBl,,,acute,Salix
Salix purpurea,Stem erect,alternate,"amphimicitc, sexual",Shrub,Shrub,dioecious,by seed/by spore,purple,capsule,toothed,pointed,>3 times as long as wide,cuneate,petiolate,broadleaved,dioecious,obligatory cross,Flat appendages (large),na,TDB,TDB,na,TmpDcBl,,always long-leaf,,Multiple Stem,No,Erect,,DcBl,,,acute,Salix
Salix repens,Stem ascending to prostrate,alternate,"amphimicitc, sexual",Shrub,,dioecious,by seed and vegetatively,purple,capsule,entire,pointed,>3 times as long as wide,truncate,petiolate,broad-leaved,dioecious,obligatory cross,Two or more long elongated appendages,na,na,na,na,na,,always simple,,,,,,,,,,Salix
Salix reticulata,Stem prostrate,alternate,"amphimicitc, sexual",shrub,Shrub,dioecious,by seed and vegetatively,Purple,capsule,entire,rounded,1-3 times as long as wide,truncate,petiolate,broadleaved,dioecious,obligatory cross,Two or more long elongated appendages,DcBl,TDB,TDB,BorDcBl,BorDcBl,Boreal,always full,,,No,Erect,,DcBl,,,,Salix
Salix retusa,,alternate,"amphimicitc, sexual",d Z,,dioecious,by seed and vegetatively,purple,capsule,,,,,,,,,,,,,,,,always simple,,,,,,,,,,Salix
Salix rosmarinifolia,,alternate,"amphimicitc, sexual",Shrub,Shrub,dioecious,by seed and vegetatively,,capsule,,,,,,broadleaved,,,,na,TDB,TDB,na,TmpDcBl,,always simple,,,,,,DcBl,,,acuminate (strongly acute),Salix
Salix serpyllifolia,,alternate,"amphimicitc, sexual",Shrub,,dioecious,by seed and vegetatively,yellow,capsule,,,,,,,,,,,,,,,,always simple,,,,,,,,,,Salix
Salix starkeana,Stem erect,alternate,"amphimicitc, sexual",Shrub,Shrub,dioecious,by seed/by spore,yellow,capsule,,,,,,B,,,Two or more long elongated appendages,na,TDB,TDB,na,TmpDcBl,,always simple,,,,,,DcBl,,,emarginate or retuse,Salix
Salix triandra,Stem erect,alternate,"amphimicitc, sexual",Shrub,Shrub,dioecious,by seed and vegetatively,yellow,capsule,toothed,pointed,>3 times as long as wide,rounded,petiolate,broadleaved,dioecious,obligatory cross,Two or more long elongated appendages,na,TDB,TDB,na,TmpDcBl,,always simple,,,,,,DcBl,,,emarginate or retuse,Salix
Salix viminalis,Stem erect,alternate,"amphimicitc, sexual",Shrub,Tree,dioecious,by seed and vegetatively,yellow,capsule,entire,pointed,>3 times as long as wide,cuneate,petiolate,broadleaved,dioecious,obligatory cross,Two or more long elongated appendages,na,TDB,TDB,na,TmpDcBl,,lanceolate,,,,,,DcBl,,,acute,Salix
Salix waldsteiniana,,alternate,"amphimicitc, sexual",e N,,dioecious,by seed/by spore,yellow,capsule,,,,,,,,,,,,,,,,always simple,,,,,,,,,,Salix
Silene acaulis,Stem erect,,"amphimicitc, sexual",herb,Herb,dioecy|hermaphrodite|gynodioecy|gynomonoecy|polygamodioecy,generative,red,capsule,entire,pointed,>3 times as long as wide,parallel-sided,sessile,broadleaved,trioecious,,"No appendages, coarse surface",,,,,,Polar,always acicular,markedly protandrous,,,,,,,,,Silene
Silene armeria,Stem erect,no rosette,"amphimicitc, sexual",b H,Herb,gynodioecy,by seed/by spore,pink,capsule,,,,,,,,,"No appendages, coarse surface",,,,,,,always simple,,,,,,,,,,Silene
Silene baccifera,Lianas and climbers,no rosette,"amphimicitc, sexual",herb,Herb,gynomonoecious,by seed/by spore,white,berry,,,,,petiolate,,,,"No appendages, smooth surface",,,,,,,always simple,,,,,,,,,,Silene
Silene burchellii,,opposite,,herb,Herb,,,white,capsule,,,,,,,,,,,,,,,,oblong to linear,,,,,,,spike (-like),(partly) united,,Silene
Silene chlorantha,Stem erect,semi-rosette,"amphimicitc, sexual",Forbs,Herb,hermaphrodite,by seed/by spore,green,capsule,,,,,,,,,,,,,,,,always long-leaf,,,,,,,,,,Silene
Silene conica,Stem erect,no rosette,"amphimicitc, sexual",annual forb,Herb,hermaphrodite|gynomonoecy,by seed/by spore,pink,capsule,entire,pointed,>3 times as long as wide,cuneate,sessile,,hermaphrodite,,"No appendages, coarse surface",,,,,,,always long-leaf,protandrous,,,,,,,,,Silene
Silene coronaria,,no rosette,"amphimicitc, sexual",b H,Herb,hermaphrodite|gynodioecy|gynomonoecy,by seed/by spore,purple,capsule,,,,,,,,,,,,,,,,always simple,,,,,,,,,,Silene
Silene cretica,Stem erect,"always Erosulate plant, always Hemirosette plant","amphimicitc, sexual",a T,Herb,hermaphrodite,by seed/by spore,pink,capsule,,,,,,,,,No appendages,,,,,,,always long-leaf,,,,,,,,,,Silene
Silene dichotoma,Stem erect,semi-rosette,"amphimicitc, sexual",herb,Herb,hermaphrodite,by seed/by spore,white,capsule,,,,,,,,,No appendages,,,,,,,always long-leaf,,,,,,,,,,Silene
Silene dioica,Stem erect,,"amphimicitc, sexual",herb,Herb,dioecy,generative,red,capsule,entire,pointed,1-3 times as long as wide,cuneate,sessile,broadleaved,dioecious,obligatory cross,Two or more short elongated appendages,,,,,,Temperate,always simple,,,,,,,,,,Silene
Silene flos-cuculi,Stem erect,no rosette,"amphimicitc, sexual",b H,Herb,gynomonoecious,vegetative & generative,red,capsule,entire,rounded,>3 times as long as wide,cuneate,subsessile,,hermaphrodite,normally cross,Two or more short elongated appendages,,,,,,,always long-leaf,protandrous,,,,,,,,,Silene
Silene gallica,Stem erect,no rosette,"amphimicitc, sexual",herb,Herb,hermaphrodite|gynomonoecy,by seed/by spore,white,capsule,entire,rounded,>3 times as long as wide,cuneate,sessile,,hermaphrodite,normally self,No appendages,,,,,,,always long-leaf,,,,,,,,,,Silene
Silene italica,Stem erect,semi-rosette,"amphimicitc, sexual",herb,Herb,gynodioecy|gynomonoecy,by seed/by spore,white,capsule,,,,,,,,,,,,,,,,,,,,,,,,,,Silene
Silene latifolia,Stem erect,always Hemirosette plant,"amphimicitc, sexual",herb,Herb,dioecy,"mostly by seed, rarely vegetatively",white,capsule,entire,pointed,1-3 times as long as wide,cuneate,sessile,,dioecious,obligatory cross,"No appendages, coarse surface",,,,,,,always simple,,,,,,,,,,Silene
Silene linicola,,always Erosulate plant,"amphimicitc, sexual",,,hermaphrodite,by seed/by spore,pink,capsule,,,,,,,,,,,,,,,,always long-leaf,,,,,,,,,,Silene
Silene noctiflora,Stem erect,semi-rosette,"amphimicitc, sexual",a T,Herb,gynodioecy|hermaphrodite|gynomonoecy,by seed/by spore,pink,capsule,entire,pointed,1-3 times as long as wide,cuneate,sessile,,hermaphrodite,,"No appendages, coarse surface",,,,,,,always simple,markedly protandrous,,,,,,,,,Silene
Silene nutans,Stem erect,,"amphimicitc, sexual",herb,Herb,hermaphrodite,vegetative & generative,white,capsule,entire,pointed,>3 times as long as wide,cuneate,subsessile,,hermaphrodite,normally cross,"No appendages, coarse surface",,,,,,,always long-leaf,markedly protandrous,,,,,,,,,Silene
Silene otites,Stem erect,semi-rosette,"amphimicitc, sexual",herb,Herb,dioecy,by seed/by spore,green,capsule,entire,rounded,>3 times as long as wide,cuneate,subsessile,,subandroecious,,Flat appendages (small),,,,,,,always long-leaf,markedly protandrous,,,,,,,,,Silene
Silene pusilla,,semi-rosette,"amphimicitc, sexual",b H,,hermaphrodite,by seed/by spore,white,capsule,,,,,,,,,,,,,,,,always long-leaf,,,,,,,,,,Silene
Silene rupestris,Stem erect,semi-rosette,"amphimicitc, sexual",b H,Herb,hermaphrodite|gynodioecy|gynomonoecy|androdioecy|andromonoecy,by seed/by spore,white,capsule,,,,,,,,,"No appendages, coarse surface",,,,,,,always simple,,,,,,,,,,Silene
Silene suecica,Stem erect,semi-rosette,,b H,Herb,hermaphrodite|gynomonoecy|gynodioecy,generative,,,entire,pointed,>3 times as long as wide,cuneate,sessile,,gynomonoecious,cross or automatic self,,,,,,,,,protandrous,,,,,,,,,Silene
Silene tatarica,Stem ascending to prostrate,semi-rosette,"amphimicitc, sexual",,Herb,hermaphrodite,by seed/by spore,white,capsule,,,,,,,,,,,,,,,,always long-leaf,,,,,,,,,,Silene
Silene viscaria,Stem erect,semi-rosette,"amphimicitc, sexual",herb,Herb,hermaphrodite|gynodioecy|gynomonoecy|androdioecy|andromonoecy,generative,purple,capsule,entire,pointed,>3 times as long as wide,parallel-sided,subsessile,,hermaphrodite,normally cross,Two or more short elongated appendages,,,,,,,always long-leaf,protandrous,,,,,,,,,Silene
Silene viscosa,,semi-rosette,"amphimicitc, sexual",,Herb,hermaphrodite,by seed/by spore,white,capsule,,,,,,,,,,,,,,,,always simple,,,,,,,,,,Silene
Silene vulgaris,Stem erect,,"amphimicitc, sexual",herb,Herb,gynodioecy|gynomonoecy|andromonoecy|androdioecy|polygamodioecy,by seed/by spore,white,capsule,entire,pointed,>3 times as long as wide,cuneate,petiolate,,hermaphrodite,normally cross,"No appendages, coarse surface",,,,,,,always simple,protandrous,,,,,,,,,Silene
Solanum aculeastrum,,alternate,,shrub|tree,,andromonoecy,,white,berry,,,,,,,,,,,,,,,,ovate or elliptic etc.,,,,,,,raceme (-like),(partly) united,,Solanum
