Example,Shoot growth form,Leaf distribution along the axis (arrangement),Apomixis,Plant growth form,Plant growth form standardized,Flower sexual system,Species reproduction types,Flower color,Fruit type,Leaf shape: 2. outline,Leaf shape: 3. pointed/round,Leaf shape: 4. length versus breadth,Leaf shape: 5. leaf base,Leaf shape: 6. leaf petiole type,Leaf type,"Dicliny (monoeceous, dioecious, hermaphrodite)",Fertilization,Seed morphology,Plant functional type PFT (Sheffield DGVM 1),Plant functional type PFT (Sheffield DGVM 2),Plant functional type PFT (Sheffield DGVM 3),Plant functional type PFT (LPJ DGVM 1),Plant functional type PFT (LPJ DGVM 2),"Plant functional type PFT (Poulter, B)",Leaf shape,Dichogamy,Growth Form,Low Growing Grass,Shape and Orientation,Plant functional type PFT (Biome-BGC 1),Plant functional type PFT (Biome-BGC 2),Flower - Inflorescence,Flower - Corolla,Leaf shape: driptip,Class
Solanum sarachoides,,always Erosulate plant,"amphimicitc, sexual",Forbs,Herb,hermaphroditic,by seed/by spore,white,berry,toothed,pointed,1-3 times as long as wide,,petiolate,,hermaphrodite,,,,,,,,,always simple,,,,,,,,,,Solanum
Solanum schliebenii,,alternate,,shrub|tree,,hermaphrodite,,purple,berry,,,,,,,,,,,,,,,,ovate or elliptic etc.,,,,,,,umbel-like,(partly) united,,Solanum
Solanum schumannianum,,alternate,,shrub,,hermaphrodite,,white,berry,,,,,,,,,,,,,,,,ovate or elliptic etc.,,,,,,,umbel-like,(partly) united,,Solanum
Solanum seaforthianum,,alternate,,liana/woody vine,Vine,hermaphrodite,,purple,berry,,,,,,,,,,,,,,,,ovate or elliptic etc.,,,,,,,panicle,(partly) united,,Solanum
Solanum setaceum,,alternate,,shrub,,hermaphrodite,,white,berry,,,,,,,,,,,,,,,,ovate or elliptic etc.,,,,,,,solitary (or few) flowers,(partly) united,,Solanum
Solanum somalense,,alternate,,shrub,,hermaphrodite,,white,berry,,,,,,,,,,,,,,,,ovate or elliptic etc.,,,,,,,"cyme, dichasium etc.",(partly) united,,Solanum
Solanum stipitatostellatum,,alternate,,shrub,,hermaphrodite,,purple,berry,,,,,,,,,,,,,,,,ovate or elliptic etc.,,,,,,,"cyme, dichasium etc.",(partly) united,,Solanum
Solanum terminale,,alternate,,herb|shrub,,,,yellow,berry,,,,,,,,,,,,,,,,ovate or elliptic etc.,,,,,,,"cyme, dichasium etc.",(partly) united,,Solanum
Solanum tettense,,opposite,,shrub,,hermaphrodite,,purple,berry,,,,,,,,,,,,,,,,ovate or elliptic etc.,,,,,,,"cyme, dichasium etc.",(partly) united,,Solanum
Solanum thomsonii,,alternate,,shrub|tree,,andromonoecy,,white,berry,,,,,,,,,,,,,,,,ovate or elliptic etc.,,,,,,,"cyme, dichasium etc.",(partly) united,,Solanum
Solanum torvum,,alternate,,shrub|tree,Shrub,andromonoecy,,white,berry,,,,,,,,,,,,,,,,ovate or elliptic etc.,,,,,,,"cyme, dichasium etc.",(partly) united,,Solanum
Solanum triflorum,Stem erect,always Erosulate plant,"amphimicitc, sexual",herb,Herb,hermaphroditic,by seed/by spore,white,berry,lobed,pointed,1-3 times as long as wide,,petiolate,,hermaphrodite,,Pulp,,,,,,,always pinnatifid,,,,,,,,,obtuse,Solanum
Solanum tuberosum,Stem erect,no rosette,"amphimicitc, sexual",herb,Herb,hermaphroditic,by seed and vegetatively,white,berry,,,,,,,,,Pulp,,,,,,,always pinnate,,,,,,,,,acuminate (strongly acute),Solanum
Solanum usambarense,,alternate,,shrub,,,,white,berry,,,,,,,,,,,,,,,,ovate or elliptic etc.,,,,,,,"cyme, dichasium etc.",(partly) united,,Solanum
Solanum usaramense,,alternate,,woody,,hermaphrodite,,purple,berry,,,,,,,,,,,,,,,,ovate or elliptic etc.,,,,,,,raceme (-like),(partly) united,,Solanum
Solanum villosum,,alternate,"amphimicitc, sexual",herb,Herb,hermaphroditic,by seed/by spore,white,berry,,,,,,,,,,,,,,,,ovate or elliptic etc.,,,,,,,umbel-like,(partly) united,,Solanum
Solanum wrightii,,alternate,,shrub|tree,Tree,andromonoecy,,white,berry,,,,,,,,,,,,,,,,ovate or elliptic etc.,,,,,,,,(partly) united,,Solanum
Solanum zanzibarense,,alternate,,shrub,,hermaphrodite,,white,berry,,,,,,,,,,,,,,,,ovate or elliptic etc.,,,,,,,raceme (-like),(partly) united,,Solanum
Trifolium alexandrinum,Stem erect,"always Erosulate plant, always Hemirosette plant","amphimicitc, sexual",a T,Herb,hermaphroditic,by seed/by spore,Yellow,legume,,,,,,,,,,,,,,,,always palmate,,Single Crown,No,Erect,,,,,,Trifolium
Trifolium alpestre,Stem erect,,"amphimicitc, sexual",Forbs,,hermaphroditic,by seed and vegetatively,red,legume,,,,,,,,,"No appendages, coarse surface",,,,,,,always palmate,,,,,,,,,,Trifolium
Trifolium arvense,Stem erect,no rosette,"amphimicitc, sexual",herb,Herb,hermaphroditic,generative,white,legume,toothed,pointed,length = width,cuneate,petiolate,,hermaphrodite,,Closed structures,,,,,,,always palmate,,,,,,,,,,Trifolium
Trifolium aureum,Stem erect,no rosette,"amphimicitc, sexual",b H,Herb,hermaphroditic,by seed/by spore,yellow,legume,toothed,rounded,length = width,cuneate,petiolate,,hermaphrodite,,Closed structures,,,,,,,always palmate,,,,,,,,,,Trifolium
Trifolium badium,Stem ascending to prostrate,semi-rosette,"amphimicitc, sexual",b H,Herb,hermaphroditic,generative,yellow,legume,,,,,,,,,,,,,,,,always palmate,,,,,,,,,,Trifolium
Trifolium campestre,Stem erect,no rosette,"amphimicitc, sexual",herb,Herb,hermaphroditic,by seed/by spore,yellow,legume,toothed,rounded,length = width,cuneate,petiolate,broadleaved,hermaphrodite,normally cross,Elongated appendages,,,,,,Temperate,always palmate,,,,,,,,,,Trifolium
Trifolium dubium,Stem erect,no rosette,"amphimicitc, sexual",herb,Herb,hermaphroditic,by seed/by spore,yellow,legume,toothed,rounded,length = width,cuneate,petiolate,broadleaved,hermaphrodite,normally self,"No appendages, smooth surface",,,,,,Temperate,always palmate,,,,,,,,,,Trifolium
Trifolium fragiferum,Stem prostrate,no rosette,"amphimicitc, sexual",herb,Herb,hermaphroditic,"mostly by seed, rarely vegetatively",Purple,legume,toothed,rounded,length = width,cuneate,petiolate,broadleaved,hermaphrodite,normally self,"No appendages, smooth surface",,,,,,Temperate,always palmate,,Stoloniferous,No,Prostrate,,,,,,Trifolium
Trifolium hybridum,Stem erect,,"amphimicitc, sexual",Forbs,Herb,hermaphroditic,generative,Yellow,legume,toothed,pointed,length = width,cuneate,petiolate,,hermaphrodite,obligatory cross,Closed structures,,,,,,,always palmate,,Single Crown,No,Semi-Erect,,,,,,Trifolium
Trifolium incarnatum,Stem erect,no rosette,"amphimicitc, sexual",herb,Herb,hermaphroditic,generative,Red,legume,toothed,rounded,length = width,cuneate,petiolate,broadleaved,hermaphrodite,normally cross,Open structures,,,,,,Temperate,always palmate,,Single Crown,No,Semi-Erect,,,,,,Trifolium
Trifolium lupinaster,,,,,Herb,,,,,,,,,,,,,,,,,,,,oblanceolate,,,,,,,,,,Trifolium
Trifolium medium,Stem erect,no rosette,"amphimicitc, sexual",b H,Herb,hermaphroditic,by seed and vegetatively,red,legume,toothed,pointed,length = width,cuneate,petiolate,,hermaphrodite,obligatory cross,No appendages,,,,,,,always palmate,,,,,,,,,,Trifolium
Trifolium micranthum,Stem ascending to prostrate,no rosette,"amphimicitc, sexual",herb,Herb,hermaphroditic,by seed/by spore,yellow,legume,toothed,rounded,length = width,cuneate,petiolate,,hermaphrodite,,,,,,,,,always palmate,,,,,,,,,,Trifolium
Trifolium montanum,Stem erect,,"amphimicitc, sexual",herb,,hermaphroditic,by seed/by spore,white,legume,,,,,,,,,Closed structures,,,,,,,always palmate,,,,,,,,,,Trifolium
Trifolium ochroleucon,Stem erect,no rosette,"amphimicitc, sexual",Forbs,,hermaphroditic,by seed/by spore,white,legume,toothed,pointed,length = width,cuneate,petiolate,,hermaphrodite,normally cross,No appendages,,,,,,,always palmate,,,,,,,,,,Trifolium
Trifolium ornithopodioides,Stem ascending to prostrate,,,herb,,,generative,,,toothed,emarginate,length = width,cuneate,petiolate,,hermaphrodite,,,,,,,,,,,,,,,,,,,Trifolium
Trifolium pratense,Stem erect,no rosette,"amphimicitc, sexual",herb,Herb,hermaphroditic,by seed/by spore,Red,legume,entire,pointed,length = width,cuneate,petiolate,broadleaved,hermaphrodite,obligatory cross,Open structures,na,GC3,GC3,na,GC3,Temperate,always palmate,,Single Crown,No,Erect,,GC3,,,,Trifolium
Trifolium repens,Stem erect,no rosette,"amphimicitc, sexual",herb,Herb,hermaphroditic,vegetative & generative,White,legume,toothed,rounded,length = width,cuneate,petiolate,broadleaved,hermaphrodite,normally cross,Closed structures,na,GC3,GC3,na,GC3,Temperate,always palmate,,Stoloniferous,No,Prostrate,,GC3,,,,Trifolium
Trifolium resupinatum,Stem erect,no rosette,"amphimicitc, sexual",Herbaceous perennial,Herb,hermaphroditic,by seed/by spore,pink,legume,,,,,,,,,Elongated appendages,,,,,,,always palmate,,,,,,,,,,Trifolium
Trifolium retusum,Stem ascending to prostrate,no rosette,"amphimicitc, sexual",,Herb,hermaphroditic,by seed/by spore,pink,legume,,,,,,,,,,,,,,,,always palmate,,,,,,,,,,Trifolium
Trifolium rubens,Stem erect,no rosette,"amphimicitc, sexual",H,,hermaphroditic,by seed/by spore,purple,legume,,,,,,,,,Elongated appendages,,,,,,,always palmate,,,,,,,,,,Trifolium
Trifolium rueppellianum,,alternate,,herb,Herb,,,red,legume,,,,,,,,,,,,,,,,ovate or elliptic etc.,,,,,,,spike (-like),(partly) united,,Trifolium
Trifolium scabrum,Stem erect,no rosette,"amphimicitc, sexual",Herbaceous dicots,,hermaphroditic,generative,white,legume,toothed,pointed,length = width,cuneate,petiolate,,hermaphrodite,normally self,,,,,,,,,,,,,,,,,,Trifolium
Trifolium spadiceum,Stem erect,no rosette,"amphimicitc, sexual",Forbs,Herb,hermaphroditic,generative,yellow,legume,,,,,,,,,,,,,,,,always palmate,,,,,,,,,,Trifolium
Trifolium striatum,Stem erect,semi-rosette,"amphimicitc, sexual",herb,Herb,hermaphroditic,generative,pink,legume,toothed,pointed,length = width,cuneate,subsessile,,hermaphrodite,,No appendages,,,,,,,always palmate,,,,,,,,,,Trifolium
Trifolium subterraneum,Stem prostrate,no rosette,,herb,Herb,,,White,,toothed,rounded,length = width,cuneate,petiolate,broadleaved,hermaphrodite,normally self,,,,,,,Temperate,,,Stoloniferous,No,Prostrate,,,,,,Trifolium
Trifolium thalii,Stem ascending to prostrate,,"amphimicitc, sexual",b H,,hermaphroditic,generative,white,legume,,,,,,,,,,,,,,,,always palmate,,,,,,,,,,Trifolium
Veronica abyssinica,,opposite,,herb,Herb,,,pink,capsule,,,,,,,,,,,,,,,,ovate or elliptic etc.,,,,,,,raceme (-like),(partly) united,,Veronica
Veronica acinifolia,Stem erect,no rosette,"amphimicitc, sexual",,,hermaphroditic,by seed/by spore,blue,capsule,,,,,,,,,No appendages,,,,,,,always full,,,,,,,,,,Veronica
Veronica agrestis,Stem ascending to prostrate,no rosette,"amphimicitc, sexual",Forb,Herb,hermaphroditic,by seed/by spore,white,capsule,crenate,rounded,1-3 times as long as wide,truncate,petiolate,,hermaphrodite,cross and self,"No appendages, coarse surface",,,,,,,always full,homogamous,,,,,,,,,Veronica
Veronica alpina,Stem erect,no rosette,"amphimicitc, sexual",Herbaceous dicots,Herb,hermaphroditic,by seed and vegetatively,violet,capsule,entire,pointed,1-3 times as long as wide,cuneate,subsessile,broadleaved,hermaphrodite,normally self,"No appendages, coarse surface",na,GC3,GC3,na,GC3,,always simple,weakly protogynous,,,,,GC3,,,,Veronica
Veronica agallis-aquatica ,Stem prostrate,always Erosulate plant,"amphimicitc, sexual",m Hel,Herb,hermaphroditic,by seed and vegetatively,violet,capsule,toothed,pointed,>3 times as long as wide,rounded,petiolate,,hermaphrodite,cross and self,"No appendages, smooth surface",,,,,,,always simple,,,,,,,,,,Veronica
Veronica anagalloides,Stem erect,no rosette,"amphimicitc, sexual",,Herb,hermaphroditic,by seed/by spore,white,capsule,,,,,,,,,No appendages,,,,,,,always long-leaf,,,,,,,,,,Veronica
Veronica aphylla,,rosette,"amphimicitc, sexual",b H,,hermaphroditic,by seed and vegetatively,blue,capsule,,,,,,,,,,,,,,,,always full,,,,,,,,,,Veronica
Veronica arvensis,Stem erect,,"amphimicitc, sexual",herb,Herb,hermaphroditic,by seed/by spore,blue,capsule,toothed,pointed,1-3 times as long as wide,truncate,sessile,,hermaphrodite,cross and self,"No appendages, coarse surface",,,,,,,always full,homogamous,,,,,,,,,Veronica
Veronica austriaca,Stem erect,no rosette,"amphimicitc, sexual",c C,Herb,hermaphroditic,by seed and vegetatively,blue,capsule,toothed,,,,sessile,,,,No appendages,,,,,,,always pinnatifid,,,,,,,,,,Veronica
Veronica beccabunga,Stem ascending to prostrate,no rosette,"amphimicitc, sexual",m Hel,Herb,hermaphroditic,by seed and vegetatively,blue,capsule,crenate,rounded,1-3 times as long as wide,,petiolate,,hermaphrodite,cross and self,"No appendages, coarse surface",,,,,,,always full,protogynous,,,,,,,,,Veronica
Veronica bellidioides,,semi-rosette,"amphimicitc, sexual",b H,,hermaphroditic,by seed and vegetatively,violet,capsule,,,,,,broadleaved,,,,na,GC3,GC3,na,GC3,,always simple,,,,,,GC3,,,,Veronica
Veronica catenata,Stem prostrate,no rosette,"amphimicitc, sexual",amphibiousubmerged,,hermaphroditic,by seed and vegetatively,pink,capsule,toothed,pointed,>3 times as long as wide,rounded,petiolate,,hermaphrodite,,No appendages,,,,,,,always long-leaf,,,,,,,,,,Veronica
Veronica chamaedrys,Stem prostrate,no rosette,"amphimicitc, sexual",Herbaceous dicots,Herb,hermaphroditic,by seed and vegetatively,blue,capsule,crenate,rounded,1-3 times as long as wide,cordate,subsessile,broadleaved,hermaphrodite,obligatory cross,"No appendages, coarse surface",na,GC3,GC3,na,GC3,,always simple,homogamous,,,,,GC3,,,,Veronica
Veronica dillenii,Stem erect,no rosette,"amphimicitc, sexual",,Herb,hermaphroditic,by seed/by spore,blue,capsule,,,,,,,,,"No appendages, smooth surface",,,,,,,always lobate,,,,,,,,,,Veronica
Veronica filiformis,Stem prostrate,no rosette,"amphimicitc, sexual",a T,Herb,hermaphroditic,"mostly vegetatively, rarely by seed",blue,capsule,crenate,rounded,length = width,cordate,petiolate,,hermaphrodite,no seed produced in Britain,No appendages,,,,,,,always full,,,,,,,,,,Veronica
Veronica fruticans,Stem erect,,"amphimicitc, sexual",c C,Shrub,hermaphroditic,by seed and vegetatively,blue,capsule,entire,rounded,1-3 times as long as wide,cuneate,subsessile,,hermaphrodite,cross and self,"No appendages, smooth surface",,,,,,,always simple,homogamous,,,,,,,,,Veronica
Veronica fruticulosa,,no rosette,"amphimicitc, sexual",c C,,hermaphroditic,by seed and vegetatively,pink,capsule,,,,,,,,,,,,,,,,always simple,,,,,,,,,,Veronica
Veronica hederifolia,Stem prostrate,no rosette,"amphimicitc, sexual",Herbaceous dicots,Herb,hermaphroditic,by seed/by spore,blue,capsule,lobed,rounded,length = width,truncate,petiolate,,hermaphrodite,cross and self,"No appendages, coarse surface",,,,,,,always lobate,homogamous,,,,,,,,,Veronica
Veronica longifolia,Stem erect,no rosette,"amphimicitc, sexual",Herbaceous dicots,Herb,hermaphroditic,by seed and vegetatively,blue,capsule,,,,,,,,,,na,na,na,na,na,,always long-leaf,,,,,,,,,,Veronica
Veronica montana,Stem prostrate,no rosette,"amphimicitc, sexual",a T,Herb,hermaphroditic,by seed and vegetatively,blue,capsule,crenate,rounded,length = width,truncate,petiolate,,hermaphrodite,,No appendages,,,,,,,always full,,,,,,,,,,Veronica
Veronica officinalis,Stem prostrate,no rosette,"amphimicitc, sexual",Herbaceous dicots,Herb,hermaphroditic,by seed and vegetatively,violet,capsule,crenate,rounded,1-3 times as long as wide,cuneate,subsessile,broad-leaved,hermaphrodite,obligatory cross,No appendages,na,na,na,na,na,,always full,protogynous,,,,,,,,,Veronica
Veronica opaca,Stem prostrate,no rosette,"amphimicitc, sexual",,,hermaphroditic,by seed/by spore,blue,capsule,,,,,,,,,No appendages,,,,,,,always full,,,,,,,,,,Veronica
Veronica peregrina,Stem erect,no rosette,"amphimicitc, sexual",a T,Herb,hermaphroditic,by seed/by spore,blue,capsule,entire,rounded,1-3 times as long as wide,cuneate,petiolate,,hermaphrodite,normally self,No appendages,,,,,,,always long-leaf,homogamous,,,,,,,,,Veronica
Veronica persica,Stem ascending to prostrate,no rosette,"amphimicitc, sexual",herb,Herb,hermaphroditic,by seed/by spore,blue,capsule,crenate,pointed,1-3 times as long as wide,truncate,petiolate,broadleaved,hermaphrodite,cross and self,"No appendages, coarse surface",,,,,,Temperate,always full,homogamous,,,,,,,,,Veronica
Veronica polita,Stem erect,no rosette,"amphimicitc, sexual",b H,Herb,hermaphroditic,by seed/by spore,blue,capsule,crenate,rounded,1-3 times as long as wide,truncate,petiolate,,hermaphrodite,normally self,"No appendages, coarse surface",,,,,,,always full,,,,,,,,,,Veronica
Veronica praecox,Stem erect,no rosette,"amphimicitc, sexual",a T,,hermaphroditic,by seed/by spore,blue,capsule,toothed,pointed,1-3 times as long as wide,cuneate,petiolate,,hermaphrodite,,No appendages,,,,,,,always full,,,,,,,,,,Veronica
Veronica prostrata,Stem erect,no rosette,"amphimicitc, sexual",b H,,hermaphroditic,by seed and vegetatively,blue,capsule,,,,,,,,,"No appendages, smooth surface",,,,,,,always long-leaf,,,,,,,,,,Veronica
Veronica scutellata,Stem erect,no rosette,"amphimicitc, sexual",Forbs,Herb,hermaphroditic,by seed and vegetatively,white,capsule,entire,pointed,>3 times as long as wide,rounded,sessile,,hermaphrodite,,"No appendages, smooth surface",,,,,,,always long-leaf,,,,,,,,,,Veronica
Veronica serpyllifolia,Stem prostrate,,"amphimicitc, sexual",Forbs,Herb,hermaphroditic,by seed and vegetatively,white,capsule,entire,rounded,1-3 times as long as wide,cuneate,subsessile,,hermaphrodite,cross and self,"No appendages, smooth surface",,,,,,,always full,homogamous,,,,,,,,,Veronica
Veronica spicata,Stem ascending to prostrate,,"amphimicitc, sexual",herb,Herb,hermaphroditic,"mostly vegetatively, rarely by seed",blue,capsule,toothed,pointed,>3 times as long as wide,cuneate,sessile,,hermaphrodite,cross and self,No appendages,na,na,na,na,na,,always simple,protandrous,,,,,,,,,Veronica
Veronica spuria,,no rosette,"amphimicitc, sexual",H,Herb,hermaphroditic,by seed and vegetatively,blue,capsule,,,,,,,,,,,,,,,,always simple,,,,,,,,,,Veronica
Veronica triphyllos,Stem erect,no rosette,"amphimicitc, sexual",a T,Herb,hermaphroditic,by seed/by spore,blue,capsule,lobed,pointed,1-3 times as long as wide,cuneate,sessile,,hermaphrodite,cross and self,"No appendages, smooth surface",,,,,,,always lobate,homogamous,,,,,,,,,Veronica
Veronica urticifolia,Stem erect,no rosette,"amphimicitc, sexual",b H,,hermaphroditic,by seed and vegetatively,pink,capsule,,,,,,,,,No appendages,,,,,,,always simple,,,,,,,,,,Veronica
Veronica verna,Stem erect,no rosette,"amphimicitc, sexual",herb,Herb,hermaphroditic,by seed/by spore,blue,capsule,lobed,pointed,1-3 times as long as wide,cuneate,sessile,,hermaphrodite,,No appendages,,,,,,,always lobate,,,,,,,,,,Veronica
Viola abyssinica,,alternate,,herb,Herb,,,white,capsule,,,,,,,,,,,,,,,,cordate,,,,,,,solitary (or few) flowers,free,,Viola
Viola alba,Stem ascending to prostrate,no rosette,"amphimicitc, sexual",b H,,hermaphroditic,"mostly vegetatively, rarely by seed",white,capsule,,,,,,,,,Elaiosome,,,,,,,always full,,,,,,,,,,Viola
Viola ambigua,Stem erect,,"amphimicitc, sexual",,,hermaphroditic,by seed and vegetatively,violet,capsule,,,,,,,,,,,,,,,,always full,,,,,,,,,,Viola
Viola arvensis,Stem prostrate,no rosette,"amphimicitc, sexual",Forbs,Herb,hermaphroditic,by seed/by spore,white,capsule,toothed,rounded,1-3 times as long as wide,cuneate,petiolate,,hermaphrodite,normally self,,,,,,,,always simple,,,,,,,,,,Viola
Viola biflora,Stem erect,no rosette,"amphimicitc, sexual",b H,Herb,hermaphroditic,by seed and vegetatively,yellow,capsule,,,,,,,,,Elaiosome,,,,,,,cordate,,,,,,,,,,Viola
Viola calcarata,,no rosette,"amphimicitc, sexual",b H,,hermaphroditic,by seed and vegetatively,violet,capsule,,,,,,,,,,,,,,,,always simple,,,,,,,,,,Viola
Viola canina,Stem erect,,"amphimicitc, sexual",Herbaceous dicots,Herb,hermaphroditic,"mostly by seed, rarely vegetatively",blue,capsule,crenate,pointed,1-3 times as long as wide,truncate,petiolate,,hermaphrodite,cross and self,Elaiosome,na,na,na,na,na,,always simple,homogamous,,,,,,,,,Viola
Viola collina,Stem erect,no rosette,"amphimicitc, sexual",,,hermaphroditic,by seed and vegetatively,violet,capsule,,,,,,,,,Elaiosome,,,,,,,always full,,,,,,,,,,Viola
Viola elatior,Stem erect,,"amphimicitc, sexual",b H,,hermaphroditic,"mostly by seed, rarely vegetatively",blue,capsule,,,,,,,,,Elaiosome,,,,,,,always simple,,,,,,,,,,Viola
Viola eminii,,alternate,,herb,,,,white,capsule,,,,,,,,,,,,,,,,orbicular,,,,,,,solitary (or few) flowers,free,,Viola
Viola epipsila,Stem erect,,"amphimicitc, sexual",,Herb,hermaphroditic,by seed and vegetatively,violet,capsule,,,,,,,,,,,,,,,,always full,,,,,,,,,,Viola
Viola hirta,Stem erect,,"amphimicitc, sexual",herb,Herb,hermaphroditic,by seed and vegetatively,blue,capsule,crenate,rounded,1-3 times as long as wide,cordate,petiolate,,hermaphrodite,,Elaiosome,,,,,,,always full,homogamous,,,,,,,,,Viola
Viola kitaibeliana,Stem erect,always Hemirosette plant,"amphimicitc, sexual",herb,Herb,hermaphroditic,by seed/by spore,white,capsule,crenate,rounded,1-3 times as long as wide,cuneate,petiolate,,hermaphrodite,normally self,,,,,,,,always simple,,,,,,,,,,Viola
Viola mirabilis,Stem erect,,"amphimicitc, sexual",Herbaceous dicots,Herb,hermaphroditic,"mostly vegetatively, rarely by seed",violet,capsule,,,,,,broad-leaved,,,Elaiosome,na,na,na,na,na,,always full,,,,,,,,,,Viola
Viola odorata,Stem ascending to prostrate,no rosette,"amphimicitc, sexual",b H,Herb,hermaphroditic,by seed and vegetatively,violet,capsule,crenate,rounded,1-3 times as long as wide,cordate,petiolate,,hermaphrodite,cross and self,Elaiosome,,,,,,,always full,homogamous,,,,,,,,,Viola
Viola palustris,Stem erect,no rosette,"amphimicitc, sexual",Herbaceous dicots,Herb,hermaphroditic,vegetative & generative,violet,capsule,crenate,rounded,length = width,cordate,petiolate,broad-leaved,hermaphrodite,,Elaiosome,na,na,na,na,na,,always full,homogamous,,,,,,,,,Viola
Viola persicifolia,Stem erect,,"amphimicitc, sexual",Forbs,,hermaphroditic,by seed and vegetatively,white,capsule,crenate,pointed,1-3 times as long as wide,truncate,petiolate,,hermaphrodite,,,,,,,,,always simple,,,,,,,,,,Viola
Viola pumila,Stem erect,,"amphimicitc, sexual",forb,,hermaphroditic,by seed/by spore,violet,capsule,,,,,,,,,Elaiosome,,,,,,,always simple,,,,,,,,,,Viola
Viola pyrenaica,,always Rosette plant,"amphimicitc, sexual",,,hermaphroditic,by seed and vegetatively,blue,capsule,,,,,,,,,,,,,,,,always full,,,,,,,,,,Viola
Viola reichenbachiana,Stem ascending to prostrate,,"amphimicitc, sexual",b H,Herb,hermaphroditic,by seed and vegetatively,violet,capsule,crenate,rounded,1-3 times as long as wide,cordate,petiolate,,hermaphrodite,,Elaiosome,,,,,,,always full,homogamous,,,,,,,,,Viola
Viola riviniana,Stem ascending to prostrate,,"amphimicitc, sexual",b H,,hermaphroditic,by seed and vegetatively,violet,capsule,crenate,rounded,1-3 times as long as wide,cordate,petiolate,,hermaphrodite,normally cross,Elaiosome,,,,,,,always full,homogamous,,,,,,,,,Viola
Viola rupestris,Stem ascending to prostrate,rosette,"amphimicitc, sexual",herb,Herb,hermaphroditic,by seed/by spore,violet,capsule,crenate,rounded,1-3 times as long as wide,cordate,petiolate,,hermaphrodite,,,,,,,,,always full,,,,,,,,,,Viola
Viola suavis,Stem erect,no rosette,"amphimicitc, sexual",b H,Herb,hermaphroditic,by seed and vegetatively,violet,capsule,,,,,,,,,,,,,,,,,,,,,,,,,,Viola
Viola tricolor,Stem erect,no rosette,"amphimicitc, sexual",b H,Herb,hermaphroditic,by seed/by spore,yellow,capsule,crenate,rounded,1-3 times as long as wide,cuneate,petiolate,,hermaphrodite,,Elaiosome,,,,,,,always simple,homogamous,,,,,,,,,Viola
Viola uliginosa,,no rosette,"amphimicitc, sexual",,,hermaphroditic,"mostly vegetatively, rarely by seed",violet,capsule,,,,,,,,,,,,,,,,always simple,,,,,,,,,,Viola
